"time","guessed_miner","transaction_count"
"2015-11-15 01:52:32","21 Inc.",1650
"2015-11-15 00:07:13","21 Inc.",2343
"2015-11-14 15:55:46","21 Inc.",672
"2015-11-14 09:54:09","21 Inc.",219
"2015-11-14 08:27:14","21 Inc.",3063
"2015-11-14 07:22:57","21 Inc.",530
"2015-11-14 00:27:44","21 Inc.",2232
"2015-11-13 10:36:33","21 Inc.",367
"2015-11-13 08:15:14","21 Inc.",2720
"2015-11-13 04:22:59","21 Inc.",578
"2015-11-12 20:54:57","21 Inc.",868
"2015-11-12 20:13:36","21 Inc.",616
"2015-11-12 20:06:40","21 Inc.",1462
"2015-11-12 14:52:02","21 Inc.",1707
"2015-11-12 05:54:08","21 Inc.",445
"2015-11-12 05:02:40","21 Inc.",403
"2015-11-12 02:10:58","21 Inc.",693
"2015-11-11 23:30:42","21 Inc.",2506
"2015-11-11 12:26:57","21 Inc.",1725
"2015-11-11 04:01:04","21 Inc.",693
"2015-11-11 01:17:36","21 Inc.",1347
"2015-11-10 22:29:55","21 Inc.",1106
"2015-11-10 22:22:10","21 Inc.",932
"2015-11-10 20:24:17","21 Inc.",1793
"2015-11-10 13:14:08","21 Inc.",1669
"2015-11-10 07:31:29","21 Inc.",721
"2015-11-10 06:44:49","21 Inc.",1341
"2015-11-10 05:31:13","21 Inc.",1120
"2015-11-09 22:53:04","21 Inc.",1433
"2015-11-09 15:22:42","21 Inc.",1313
"2015-11-09 05:32:33","21 Inc.",405
"2015-11-08 19:36:33","21 Inc.",1688
"2015-11-08 17:50:24","21 Inc.",1373
"2015-11-08 08:43:28","21 Inc.",1754
"2015-11-08 01:55:28","21 Inc.",351
"2015-11-07 16:46:08","21 Inc.",1831
"2015-11-07 15:15:14","21 Inc.",2834
"2015-11-07 11:36:48","21 Inc.",792
"2015-11-07 11:07:13","21 Inc.",1998
"2015-11-07 09:06:40","21 Inc.",1845
"2015-11-07 07:45:22","21 Inc.",840
"2015-11-07 07:14:57","21 Inc.",1635
